Identifier,Maturity,Physiological Condition,Tree Set To Be Removed,Removal Reason,Capital Asset Value For Amenity Trees,Carbon Storage In Kilograms,Gross Carbon Sequestration Per Year In Kilograms,Pollution Removal Per Year In Grams
21666,Middle aged,Good,No,,1044.28,15.7,1.8,21.9
50114,Middle aged,Good,No,,258.91,3.7,0.8,4.1
53458,Middle aged,Good,No,,2330.22,52.3,3.6,20
51394,Middle aged,Good,No,,414.26,3.8,0.8,13.7
58627,Juvenile,Good,No,,115.07,,,
59709,,,No,,,,,
17539,Mature,Good,No,,22727.74,731.9,18.2,214
42202,Juvenile,Good,No,,1174.82,3.8,0.7,3.8
10330,Mature,Good,No,,25690.68,701.8,13.2,72.1
10002,Mature,Good,No,,12082.63,213,6.7,164.9
56545,Juvenile,Good,No,,179.8,2.7,0.7,9.9
9690,Mature,Good,No,,36463.63,1387.2,24.4,570.1
46460,Middle aged,Fair,No,,2157.61,13.4,1.4,68.6
19955,Mature,Fair,No,,7257.13,131.8,4.5,277.7
48133,Middle aged,Good,No,,783.21,6.2,1.1,21.9
15462,Middle aged,Fair,No,,11599.32,677.7,15.4,251.3
32764,Middle aged,Good,No,,8630.45,364.5,11.1,117.2
13784,Middle aged,Good,No,,20544.78,334.3,8.6,366.7
44798,Middle aged,Good,No,,3806.03,40.1,3,15.9
44736,Middle aged,Fair,No,,1242.78,15.7,1.6,3.5
7307,Mature,Good,No,,30931.52,1045,20.6,258.9
56556,Juvenile,Good,No,,239.74,1.8,0.5,6.4
52752,,,No,,,,,
31798,Not Applicable,Fair,No,,4045.52,138.3,6.1,39.3
6662,Mature,Fair,No,,7253.89,434.6,11.9,35.1
51449,Juvenile,Good,No,,317.17,5.5,1,13.7
8372,Middle aged,Good,No,,4142.62,104.2,4.5,149.5
4474,Mature,Fair,No,,24535.28,772.2,15.4,278.2
15766,Middle aged,Fair,No,,1093.91,27.8,2.2,23.3
51130,Juvenile,Good,No,,103.57,1.4,0.5,7.4
20185,Mature,Good,No,,20419.63,632.8,15.4,275.3
22577,Middle aged,Fair,No,,9942.27,108.2,4.8,294.3
58247,Juvenile,Good,No,,153.43,,,
18378,Mature,Dead,No,,2610.71,101.3,5.1,44.5
22508,Mature,Fair,No,,9942.27,181.3,6.6,230.9
51459,Juvenile,Good,No,,352.41,5.4,1,8.6
56076,Juvenile,Good,No,,345.22,1.4,0.4,6.1
6089,Mature,Fair,No,,22836.16,1032.1,18.7,361
11364,Mature,Fair,No,,6167.17,313.9,9.8,132.7
28068,Mature,Fair,No,,16708.54,476.5,11.6,170.7
49332,Juvenile,Good,No,,352.41,1.6,0.5,3.5
17998,Mature,Good,No,,22020.58,466.9,10.4,277.7
55417,Juvenile,Good,No,,115.07,1.4,0.4,3.3
53948,Middle aged,Fair,No,,11223.89,86.8,2.8,202.7
28064,Middle aged,Poor,No,,6350.93,112.6,4.1,25.7
9649,Mature,Fair,No,,44306.55,1025.6,14.6,669.1
14920,Mature,Fair,No,,15957.69,,,
13890,Middle aged,Fair,No,,13126.91,348.3,9,396.3
55288,Juvenile,Fair,No,,460.29,1.6,0.5,3.5
5979,Mature,Good,No,,7309.99,241.9,8.2,195.9
194,Middle aged,Fair,No,,2378.77,33.1,2.6,44.4
16312,Mature,Fair,No,,14507.78,398.4,10.5,296.5
12191,Mature,Good,No,,9398.56,238,8.7,216.4
45521,Mature,Fair,No,,20305.52,404.4,9.9,145.7
10771,Mature,Good,No,,2330.22,61,3.7,111.9
1600,Mature,Good,No,,44895.58,1274.4,23.4,453
16250,Mature,Fair,No,,12274.42,298.4,8.8,97.2
5899,Mature,Fair,No,,6048.5,182.6,6.3,332.5
50359,Middle aged,Good,No,,647.28,12.8,1.6,3
31255,Mature,Fair,No,,970.93,180.5,6.5,67.7
20686,Mature,Good,No,,14020.16,175.5,6,294.9
2511,Mature,Fair,No,,7257.13,131.8,4.5,43.8
18374,Mature,Fair,No,,7788.98,383.6,11,107.4
8528,Mature,Fair,No,,25373.51,759.8,15.4,460.3
